,日付,合計（円）,預金・現金・仮想通貨（円）,株式(現物)（円）,ポイント（円）,年金（円）
0,2015-05-21,145,135,10,,0
1,2015-05-22,778,485,289,,4
2,2015-05-23,1411,835,568,,8
3,2015-05-24,2044,1185,847,,12
4,2015-05-25,2677,1535,1126,,16
5,2015-05-26,3310,1885,1405,,20
6,2015-05-27,3943,2235,1684,,24
7,2015-05-28,4576,2585,1963,,28
8,2015-05-29,5209,2935,2242,,32
9,2015-05-30,5842,3285,2521,,36
10,2015-05-31,6475,3635,2800,,40
11,2015-06-01,7108,3985,3079,,44
12,2015-06-02,7741,4335,3358,,48
13,2015-06-03,8374,4685,3637,,52
14,2015-06-04,9007,5035,3916,,56
15,2015-06-05,9640,5385,4195,,60
16,2015-06-06,10273,5735,4474,,64
17,2015-06-07,10906,6085,4753,,68
18,2015-06-08,11539,6435,5032,,72
19,2015-06-09,12172,6785,5311,,76
20,2015-06-10,12805,7135,5590,,80
21,2015-06-11,13438,7485,5869,,84
22,2015-06-12,14071,7835,6148,,88
23,2015-06-13,14704,8185,6427,,92
24,2015-06-14,15337,8535,6706,,96
25,2015-06-15,15970,8885,6985,,100
26,2015-06-16,16603,9235,7264,,104
27,2015-06-17,17236,9585,7543,,108
28,2015-06-18,17869,9935,7822,,112
29,2015-06-19,18502,10285,8101,,116
30,2015-06-20,19135,10635,8380,,120
31,2015-06-21,19768,10985,8659,,124
32,2015-06-22,20401,11335,8938,,128
33,2015-06-23,21034,11685,9217,,132
34,2015-06-24,21667,12035,9496,,136
35,2015-06-25,22300,12385,9775,,140
36,2015-06-26,22933,12735,10054,,144
37,2015-06-27,23566,13085,10333,,148
38,2015-06-28,24199,13435,10612,,152
39,2015-06-29,24832,13785,10891,,156
40,2015-06-30,25465,14135,11170,,160
41,2015-07-01,26098,14485,11449,,164
42,2015-07-02,26731,14835,11728,,168
43,2015-07-03,27364,15185,12007,,172
44,2015-07-04,27997,15535,12286,,176
45,2015-07-05,28630,15885,12565,,180
46,2015-07-06,29263,16235,12844,,184
47,2015-07-07,29896,16585,13123,,188
48,2015-07-08,30529,16935,13402,,192
49,2015-07-09,31162,17285,13681,,196
50,2015-07-10,31795,17635,13960,,200
51,2015-07-11,32428,17985,14239,,204
52,2015-07-12,33061,18335,14518,,208
53,2015-07-13,33694,18685,14797,,212
54,2015-07-14,34327,19035,15076,,216
55,2015-07-15,34960,19385,15355,,220
56,2015-07-16,35593,19735,15634,,224
57,2015-07-17,36226,20085,15913,,228
58,2015-07-18,36859,20435,16192,,232
59,2015-07-19,37492,20785,16471,,236
60,2015-07-20,38125,21135,16750,,240
61,2015-07-21,38758,21485,17029,,244
62,2015-07-22,39391,21835,17308,,248
63,2015-07-23,40024,22185,17587,,252
64,2015-07-24,40657,22535,17866,,256
65,2015-07-25,41290,22885,18145,,260
66,2015-07-26,41923,23235,18424,,264
67,2015-07-27,42556,23585,18703,,268
68,2015-07-28,43189,23935,18982,,272
69,2015-07-29,43822,24285,19261,,276
70,2015-07-30,44455,24635,19540,,280
71,2015-07-31,45088,24985,19819,,284
72,2015-08-01,45721,25335,20098,,288
73,2015-08-02,46354,25685,20377,,292
74,2015-08-03,46987,26035,20656,,296
75,2015-08-04,47620,26385,20935,,300
76,2015-08-05,48253,26735,21214,,304
77,2015-08-06,48886,27085,21493,,308
78,2015-08-07,49519,27435,21772,,312
79,2015-08-08,50152,27785,22051,,316
80,2015-08-09,50785,28135,22330,,320
81,2015-08-10,51418,28485,22609,,324
82,2015-08-11,52051,28835,22888,,328
83,2015-08-12,52684,29185,23167,,332
84,2015-08-13,53317,29535,23446,,336
85,2015-08-14,53950,29885,23725,,340
86,2015-08-15,54583,30235,24004,,344
87,2015-08-16,55216,30585,24283,,348
88,2015-08-17,55849,30935,24562,,352
89,2015-08-18,56482,31285,24841,,356
90,2015-08-19,57115,31635,25120,,360
91,2015-08-20,57748,31985,25399,,364
92,2015-08-21,58381,32335,25678,,368
93,2015-08-22,59014,32685,25957,,372
94,2015-08-23,59647,33035,26236,,376
95,2015-08-24,60280,33385,26515,,380
96,2015-08-25,60913,33735,26794,,384
97,2015-08-26,61546,34085,27073,,388
98,2015-08-27,62179,34435,27352,,392
99,2015-08-28,62812,34785,27631,,396
100,2015-08-29,63445,35135,27910,,400
101,2015-08-30,64078,35485,28189,,404
102,2015-08-31,64711,35835,28468,,408
103,2015-09-01,65344,36185,28747,,412
104,2015-09-02,65977,36535,29026,,416
105,2015-09-03,66610,36885,29305,,420
106,2015-09-04,67243,37235,29584,,424
107,2015-09-05,67876,37585,29863,,428
108,2015-09-06,68509,37935,30142,,432
109,2015-09-07,69142,38285,30421,,436
110,2015-09-08,69775,38635,30700,,440
111,2015-09-09,70408,38985,30979,,444
112,2015-09-10,71041,39335,31258,,448
113,2015-09-11,71674,39685,31537,,452
114,2015-09-12,72307,40035,31816,,456
115,2015-09-13,72940,40385,32095,,460
116,2015-09-14,73573,40735,32374,,464
117,2015-09-15,74206,41085,32653,,468
118,2015-09-16,74839,41435,32932,,472
119,2015-09-17,75472,41785,33211,,476
120,2015-09-18,76105,42135,33490,,480
121,2015-09-19,76738,42485,33769,,484
122,2015-09-20,77371,42835,34048,,488
123,2015-09-21,78004,43185,34327,,492
124,2015-09-22,78637,43535,34606,,496
125,2015-09-23,79270,43885,34885,,500
126,2015-09-24,79903,44235,35164,,504
127,2015-09-25,80536,44585,35443,,508
128,2015-09-26,81169,44935,35722,,512
129,2015-09-27,81802,45285,36001,,516
130,2015-09-28,82435,45635,36280,,520
131,2015-09-29,83068,45985,36559,,524
132,2015-09-30,83701,46335,36838,,528
133,2015-10-01,84334,46685,37117,,532
134,2015-10-02,84967,47035,37396,,536
135,2015-10-03,85600,47385,37675,,540
136,2015-10-04,86233,47735,37954,,544
137,2015-10-05,86866,48085,38233,,548
138,2015-10-06,87499,48435,38512,,552
139,2015-10-07,88132,48785,38791,,556
140,2015-10-08,88765,49135,39070,,560
141,2015-10-09,89398,49485,39349,,564
142,2015-10-10,90031,49835,39628,,568
143,2015-10-11,90664,50185,39907,,572
144,2015-10-12,91297,50535,40186,,576
145,2015-10-13,91930,50885,40465,,580
146,2015-10-14,92563,51235,40744,,584
147,2015-10-15,93196,51585,41023,,588
148,2015-10-16,93829,51935,41302,,592
149,2015-10-17,94462,52285,41581,,596
150,2015-10-18,95095,52635,41860,,600
151,2015-10-19,95728,52985,42139,,604
152,2015-10-20,96361,53335,42418,,608
153,2015-10-21,96994,53685,42697,,612
154,2015-10-22,97627,54035,42976,,616
155,2015-10-23,98260,54385,43255,,620
156,2015-10-24,98893,54735,43534,,624
157,2015-10-25,99526,55085,43813,,628
158,2015-10-26,100159,55435,44092,,632
159,2015-10-27,100792,55785,44371,,636
160,2015-10-28,101425,56135,44650,,640
161,2015-10-29,102058,56485,44929,,644
162,2015-10-30,102691,56835,45208,,648
163,2015-10-31,103324,57185,45487,,652
164,2015-11-01,103957,57535,45766,0.0,656
165,2015-11-02,104590,57885,46045,0.0,660
166,2015-11-03,105223,58235,46324,0.0,664
167,2015-11-04,105856,58585,46603,0.0,668
168,2015-11-05,106489,58935,46882,0.0,672
169,2015-11-06,107122,59285,47161,0.0,676
170,2015-11-07,107755,59635,47440,0.0,680
171,2015-11-08,108388,59985,47719,0.0,684
172,2015-11-09,109021,60335,47998,0.0,688
173,2015-11-10,109654,60685,48277,0.0,692
174,2015-11-11,110287,61035,48556,0.0,696
175,2015-11-12,110920,61385,48835,0.0,700
176,2015-11-13,111553,61735,49114,0.0,704
177,2015-11-14,112186,62085,49393,0.0,708
178,2015-11-15,112819,62435,49672,0.0,712
179,2015-11-16,113452,62785,49951,0.0,716
180,2015-11-17,114085,63135,50230,0.0,720
181,2015-11-18,114718,63485,50509,0.0,724
182,2015-11-19,115351,63835,50788,0.0,728
183,2015-11-20,115984,64185,51067,0.0,732
184,2015-11-21,116692,64535,51346,75.0,736
185,2015-11-22,117325,64885,51625,75.0,740
186,2015-11-23,117958,65235,51904,75.0,744
187,2015-11-24,118591,65585,52183,75.0,748
188,2015-11-25,119224,65935,52462,75.0,752
189,2015-11-26,119857,66285,52741,75.0,756
190,2015-11-27,120490,66635,53020,75.0,760
191,2015-11-28,121123,66985,53299,75.0,764
192,2015-11-29,121756,67335,53578,75.0,768
193,2015-11-30,122389,67685,53857,75.0,772
194,2015-12-01,123022,68035,54136,75.0,776
195,2015-12-02,123655,68385,54415,75.0,780
196,2015-12-03,124288,68735,54694,75.0,784
197,2015-12-04,124921,69085,54973,75.0,788
198,2015-12-05,125554,69435,55252,75.0,792
199,2015-12-06,126187,69785,55531,75.0,796
200,2015-12-07,126820,70135,55810,75.0,800
201,2015-12-08,127453,70485,56089,75.0,804
202,2015-12-09,128086,70835,56368,75.0,808
203,2015-12-10,128719,71185,56647,75.0,812
204,2015-12-11,129352,71535,56926,75.0,816
205,2015-12-12,129985,71885,57205,75.0,820
206,2015-12-13,130618,72235,57484,75.0,824
207,2015-12-14,131251,72585,57763,75.0,828
208,2015-12-15,131884,72935,58042,75.0,832
209,2015-12-16,132517,73285,58321,75.0,836
210,2015-12-17,133150,73635,58600,75.0,840
211,2015-12-18,133783,73985,58879,75.0,844
212,2015-12-19,134416,74335,59158,75.0,848
213,2015-12-20,135049,74685,59437,75.0,852
214,2015-12-21,135682,75035,59716,75.0,856
215,2015-12-22,136315,75385,59995,75.0,860
216,2015-12-23,136948,75735,60274,75.0,864
217,2015-12-24,137581,76085,60553,75.0,868
218,2015-12-25,138214,76435,60832,75.0,872
219,2015-12-26,138847,76785,61111,75.0,876
220,2015-12-27,139480,77135,61390,75.0,880
221,2015-12-28,140113,77485,61669,75.0,884
222,2015-12-29,140746,77835,61948,75.0,888
223,2015-12-30,141379,78185,62227,75.0,892
224,2015-12-31,142012,78535,62506,75.0,896
