日付,合計（円）,預金・現金・暗号資産（円）,株式(現物)（円）,年金（円）,ポイント（円）
2023/10/07,2373494,1651600,526888,34595,160411
2023/10/06,2373494,1651600,527888,33595,160411
2023/10/05,2373438,1651600,528888,32595,160355
2023/10/04,2373438,1651600,529888,31595,160355
2023/10/03,2373130,1651600,530888,30595,160047
2023/10/02,2372670,1651600,531888,29595,159587
2023/10/01,2371779,1651600,532888,28595,158696
2023/09/30,2371779,1651600,533888,27595,158696
2023/08/31,2377935,1651600,534888,26595,164852
2023/07/31,2374597,1651600,535888,25595,161514
